# GCC — swept in THIS order. Riyadh first (largest untapped SMB base, highest
# receptionist labour cost to displace, Vision 2030 tailwind); Saudi secondary
# cities next; Dubai LAST because the analysis flags it as the most-pitched
# market in the region.
Riyadh|SA|24.7136|46.6753|0.25
Jeddah|SA|21.4858|39.1925|0.20
Dammam|SA|26.4207|50.0888|0.15
Khobar|SA|26.2794|50.2083|0.12
Medina|SA|24.5247|39.5692|0.15
Mecca|SA|21.3891|39.8579|0.15
Abu Dhabi|AE|24.4539|54.3773|0.20
Sharjah|AE|25.3463|55.4209|0.12
Doha|QA|25.2854|51.5310|0.15
Kuwait City|KW|29.3759|47.9774|0.15
Manama|BH|26.2285|50.5860|0.10
Muscat|OM|23.5880|58.3829|0.15
Dubai|AE|25.2048|55.2708|0.25
